marker-color,marker-size,marker-symbol,NummerRijksmonument,NaamRijksmonument,HoofdCategorieMS,GEMEENTE,PROVINCIE,PLAATS,SITUERING,Adres,POSTCODE,STATUS,long,lat
#80ff80,small,,45063,,Archeologie,Winsum,Groningen,Adorp,,,9774 ZA,beschermd,6.530857206251,53.283965934006
#80ff80,small,,45064,,Archeologie,Winsum,Groningen,Adorp,,,9774 ZA,beschermd,6.525681863981,53.285587669867
#80ff80,small,,45065,,Archeologie,Winsum,Groningen,Adorp,,,9774 ZA,beschermd,6.540869693785,53.284939541541
#80ff80,small,,45066,,Archeologie,Winsum,Groningen,Sauwerd,,,9770 AA,beschermd,6.555108048604,53.287452871851
#80ff80,small,,45067,,Archeologie,Winsum,Groningen,Adorp,,,9774 ZA,beschermd,6.547187056728,53.292912323121
#80ff80,small,,45068,,Archeologie,Winsum,Groningen,Adorp,,,9774 ZA,beschermd,6.517181590175,53.286809167767
#80ff80,small,,45069,,Archeologie,Winsum,Groningen,Adorp,,,9774 ZA,beschermd,6.528750134551,53.294436840478
#80ff80,small,,45070,,Archeologie,Winsum,Groningen,Adorp,,,9774 ZA,beschermd,6.534850189265,53.297658656169
#80ff80,small,,45071,,Archeologie,Winsum,Groningen,Adorp,,,9774 ZA,beschermd,6.521882955906,53.297934581927
#80ff80,small,,45072,,Archeologie,Winsum,Groningen,Adorp,,,9774 ZA,beschermd,6.529701684083,53.302048007507
#80ff80,small,,45073,,Archeologie,Winsum,Groningen,Adorp,,,9774 ZA,beschermd,6.53412195441,53.303551504322
#80ff80,small,,45074,,Archeologie,Winsum,Groningen,Adorp,,,9774 ZA,beschermd,6.537362052726,53.30691727564
#80ff80,small,,45087,,Archeologie,Groningen,Groningen,Groningen,Bij,Beijumerweg 19,9737 AB,beschermd,6.592192280131,53.250377656529
#80ff80,small,,45088,,Archeologie,Bedum,Groningen,Zuidwolde,,,9785 ZA,beschermd,6.571893628573,53.26415795512
#80ff80,small,,45089,,Archeologie,Bedum,Groningen,Zuidwolde,,,9785 ZA,beschermd,6.572608244336,53.266711986822
#80ff80,small,,45090,,Archeologie,Bedum,Groningen,Noordwolde,,,9780 AA,beschermd,6.561851208836,53.281761771274
#80ff80,small,,45011,,Archeologie,Aa en Hunze,Drenthe,Annen,,,9468 ZA,beschermd,6.715555274687,53.061431627356
#80ff80,small,,45012,,Archeologie,Aa en Hunze,Drenthe,Annen,,,9468 ZA,beschermd,6.712771781836,53.042571636982
#80ff80,small,,45013,,Archeologie,Aa en Hunze,Drenthe,Anloo,,,9463 ZA,beschermd,6.708350037112,53.037408023712
#80ff80,small,,45014,,Archeologie,Aa en Hunze,Drenthe,Gasteren,,,9466 ZA,beschermd,6.659197823356,53.046775004934
#80ff80,small,,45015,,Archeologie,Aa en Hunze,Drenthe,Gasteren,,,9466 ZA,beschermd,6.658757495323,53.042429967711
#80ff80,small,,45016,,Archeologie,Aa en Hunze,Drenthe,Gasteren,,,9466 ZA,beschermd,6.675590360439,53.032292206213
#80ff80,small,,45017,,Archeologie,Aa en Hunze,Drenthe,Anloo,,,9463 ZA,beschermd,6.708056271487,53.030194604498
#80ff80,small,,45018,,Archeologie,Aa en Hunze,Drenthe,Anloo,,,9463 ZA,beschermd,6.710205925415,53.028822775571
#80ff80,small,,45019,,Archeologie,Aa en Hunze,Drenthe,Anloo,,,9463 ZA,beschermd,6.719324753383,53.033547664981
#80ff80,small,,45020,,Archeologie,Aa en Hunze,Drenthe,Anloo,,,9463 ZA,beschermd,6.726367241238,53.030341496988
#80ff80,small,,45021,,Archeologie,Aa en Hunze,Drenthe,Eext,,,9463 ZA,beschermd,6.729848701876,53.029152109957
#80ff80,small,,45022,,Archeologie,Aa en Hunze,Drenthe,Eext,,,9463 ZA,beschermd,6.705661853457,53.014160976583
#80ff80,small,,45023,,Archeologie,Aa en Hunze,Drenthe,Eext,,,9463 ZA,beschermd,6.72015284591,53.016795342393
#80ff80,small,,45024,,Archeologie,Aa en Hunze,Drenthe,Eext,,,9463 ZA,beschermd,6.719262788937,53.017416388976
#80ff80,small,,45025,,Archeologie,Aa en Hunze,Drenthe,Eext,,,9463 ZA,beschermd,6.723666770222,53.01523728614
#80ff80,small,,45026,,Archeologie,Aa en Hunze,Drenthe,Eext,,,9463 ZA,beschermd,6.726990697375,53.011389513064
#80ff80,small,,45027,,Archeologie,Emmen,Drenthe,Emmen,,,7800 AA,beschermd,6.88950626715,52.811107253816
#80ff80,small,,45028,,Archeologie,Aa en Hunze,Drenthe,Eext,,,9463 ZA,beschermd,6.763587722427,53.01797493764
#80ff80,small,,45029,,Archeologie,Aa en Hunze,Drenthe,Eext,,,9463 ZA,beschermd,6.72985080504,53.001705141488
#80ff80,small,,45030,,Archeologie,Aa en Hunze,Drenthe,Eext,,,9463 ZA,beschermd,6.714587980863,52.996087797342
#80ff80,small,,45031,,Archeologie,Aa en Hunze,Drenthe,Eext,,,9463 ZA,beschermd,6.705249379202,52.986287191604
#80ff80,small,,45032,,Archeologie,Aa en Hunze,Drenthe,Anloo,,,9463 ZA,beschermd,6.650774140349,53.051465605329
#80ff80,small,,45033,,Archeologie,Aa en Hunze,Drenthe,Eext,,,9463 ZA,beschermd,6.746022539579,53.03247446787
#80ff80,small,,45038,,Archeologie,Zuidhorn,Groningen,Den Horn,,,9800 AA,beschermd,6.439970006641,53.232129347909
#80ff80,small,,45039,,Archeologie,Zuidhorn,Groningen,Aduard,,,9830 AA,beschermd,6.448962425946,53.24397477992
#80ff80,small,,45040,,Archeologie,Zuidhorn,Groningen,Aduard,,,9830 AA,beschermd,6.454939887069,53.247012998215
#80ff80,small,,45041,,Archeologie,Zuidhorn,Groningen,Den Ham,,,9800 AA,beschermd,6.430597477407,53.268209556811
#80ff80,small,,45042,,Archeologie,Zuidhorn,Groningen,Den Ham,,,9800 AA,beschermd,6.427629591755,53.26882838606
#80ff80,small,,45043,,Archeologie,Zuidhorn,Groningen,Den Ham,,,9800 AA,beschermd,6.425634212584,53.267506735284
#80ff80,small,,45044,,Archeologie,Zuidhorn,Groningen,Aduard,,,9830 AA,beschermd,6.498381563227,53.261365087227
#80ff80,small,,45045,,Archeologie,Zuidhorn,Groningen,Den Ham,,,9800 AA,beschermd,6.417700984128,53.275491766892
#80ff80,small,,45046,,Archeologie,Zuidhorn,Groningen,Fransum,,,9800 AA,beschermd,6.466825441805,53.269390003772
#80ff80,small,,45047,,Archeologie,Zuidhorn,Groningen,Fransum,,,9800 AA,beschermd,6.447814800285,53.278374731266
#80ff80,small,,45048,,Archeologie,Winsum,Groningen,Oostum,,,9770 AA,beschermd,6.495849801338,53.268406675252
#80ff80,small,,45050,,Archeologie,Winsum,Groningen,Adorp,,,9774 ZA,beschermd,6.527506623404,53.250802803783
#80ff80,small,,45051,,Archeologie,Winsum,Groningen,Adorp,,,9774 ZA,beschermd,6.520996346835,53.258502749436
#80ff80,small,,45052,,Archeologie,Winsum,Groningen,Adorp,,,9774 ZA,beschermd,6.543820360688,53.254609682067
#80ff80,small,,45053,,Archeologie,Winsum,Groningen,Adorp,,,9774 ZA,beschermd,6.547212771789,53.253714272466
#80ff80,small,,45055,,Archeologie,Winsum,Groningen,Adorp,,,9774 ZA,beschermd,6.534239524787,53.263418234548
#80ff80,small,,45057,,Archeologie,Winsum,Groningen,Adorp,,,9774 ZA,beschermd,6.531212396683,53.265693663355
#80ff80,small,,45059,,Archeologie,Winsum,Groningen,Adorp,,,9774 ZA,beschermd,6.510595130943,53.268251670813
#80ff80,small,,45060,,Archeologie,Winsum,Groningen,Adorp,,,9774 ZA,beschermd,6.533064097543,53.276162888314
#80ff80,small,,45061,,Archeologie,Winsum,Groningen,Adorp,,,9774 ZA,beschermd,6.532901453083,53.277377572715
#80ff80,small,,45062,,Archeologie,Winsum,Groningen,Adorp,,,9774 ZA,beschermd,6.526500236784,53.27910090179
#80ff80,small,,45091,,Archeologie,Bedum,Groningen,Ellerhuizen,,,9780 AA,beschermd,6.603748340829,53.277112207638
#80ff80,small,,45092,,Archeologie,Bedum,Groningen,Bedum,,,9780 AA,beschermd,6.629291475165,53.313424823246
#80ff80,small,,45093,,Archeologie,Bedum,Groningen,Bedum,,,9780 AA,beschermd,6.599573991065,53.301426217571
#80ff80,small,,45094,,Archeologie,Bedum,Groningen,Onderwierum,,,9780 AA,beschermd,6.580576449103,53.32395591485
#80ff80,small,,45095,,Archeologie,Bedum,Groningen,Onderwierum,,,9780 AA,beschermd,6.581081845094,53.325945808374
#80ff80,small,,45096,,Archeologie,Bedum,Groningen,Onderwierum,,,9780 AA,beschermd,6.580564968985,53.327334798003
#80ff80,small,,45097,,Archeologie,Bedum,Groningen,Onderdendam,,,9959 ZA,beschermd,6.5809708416,53.333315493561
#80ff80,small,,45098,,Archeologie,Bedum,Groningen,Onderdendam,,,9959 ZA,beschermd,6.58399623057,53.340627023396
#80ff80,small,,45137,,Archeologie,Appingedam,Groningen,Tjamsweer,,,9900 AA,beschermd,6.83562207411,53.323426691067
#80ff80,small,,45287,,Archeologie,Het Bildt,Friesland,Minnertsga,,,9047 ZA,beschermd,5.578792231221,53.246774477303
#80ff80,small,,45138,,Archeologie,Appingedam,Groningen,Tjamsweer,,,9900 AA,beschermd,6.83343727303,53.323174417214
#80ff80,small,,45139,,Archeologie,Appingedam,Groningen,Tjamsweer,,,9900 AA,beschermd,6.82949844439,53.324327084947
#80ff80,small,,45140,,Archeologie,Appingedam,Groningen,Tjamsweer,,,9900 AA,beschermd,6.83114635797,53.326473045466
#80ff80,small,,45141,,Archeologie,Appingedam,Groningen,Tjamsweer,,,9900 AA,beschermd,6.836230260409,53.327229638913
#80ff80,small,,45142,,Archeologie,Appingedam,Groningen,Appingedam,,,9900 AA,beschermd,6.854184785608,53.323758734656
#80ff80,small,,45143,,Archeologie,Appingedam,Groningen,Oling,,,9900 AA,beschermd,6.835346894893,53.313005637091
#80ff80,small,,45144,,Archeologie,Appingedam,Groningen,Appingedam,,,9900 AA,beschermd,6.834386206549,53.315677224327
#80ff80,small,,45145,,Archeologie,Appingedam,Groningen,Appingedam,,,9900 AA,beschermd,6.843626520982,53.314235590532
#80ff80,small,,45146,,Archeologie,Appingedam,Groningen,Appingedam,,,9900 AA,beschermd,6.843481889358,53.312619763353
#80ff80,small,,45147,,Archeologie,Appingedam,Groningen,Appingedam,,,9900 AA,beschermd,6.860465711798,53.310354823146
#80ff80,small,,45148,,Archeologie,Appingedam,Groningen,Appingedam,,,9900 AA,beschermd,6.874518203081,53.319285152988
#80ff80,small,,45149,,Archeologie,Appingedam,Groningen,Laskwerd,,,9900 AA,beschermd,6.843902972875,53.293554108701
#80ff80,small,,45150,,Archeologie,Appingedam,Groningen,Jukwerd,,,9900 AA,beschermd,6.845836105971,53.335183340633
#80ff80,small,,45151,,Archeologie,Appingedam,Groningen,Garreweer,,,9900 AA,beschermd,6.810751449865,53.311601050985
#80ff80,small,,45152,,Archeologie,Appingedam,Groningen,Garreweer,,,9900 AA,beschermd,6.814486358483,53.31110742447
#80ff80,small,,45153,,Archeologie,Appingedam,Groningen,Jukwerd,,,9900 AA,beschermd,6.848378864677,53.334460502124
#80ff80,small,,45154,,Archeologie,Appingedam,Groningen,Marsum,,,9900 AA,beschermd,6.873256631394,53.341452620577
#80ff80,small,,45155,,Archeologie,Appingedam,Groningen,Oling,,,9900 AA,beschermd,6.835387521577,53.31510799751
#80ff80,small,,45156,,Archeologie,Appingedam,Groningen,Oling,,,9900 AA,beschermd,6.83155162094,53.314830644326
#80ff80,small,,45157,,Archeologie,Appingedam,Groningen,Marsum,,,9900 AA,beschermd,6.876028565451,53.339108789451
#80ff80,small,,45213,,Archeologie,Franekeradeel,Friesland,Sexbierum,,,8855 ZA,beschermd,5.496594935881,53.199640677923
#80ff80,small,,45214,,Archeologie,Franekeradeel,Friesland,Sexbierum,,,8855 ZA,beschermd,5.499380024437,53.200321008032
#80ff80,small,,45215,,Archeologie,Harlingen,Friesland,Wijnaldum,,,8860 AA,beschermd,5.484289989791,53.197656479283
#80ff80,small,,45216,,Archeologie,Harlingen,Friesland,Wijnaldum,,,8860 AA,beschermd,5.478767187516,53.197040822142
#80ff80,small,,45217,,Archeologie,Harlingen,Friesland,Wijnaldum,,,8860 AA,beschermd,5.472840845372,53.196577955309
#80ff80,small,,45219,,Archeologie,Franekeradeel,Friesland,Oosterbierum,,,8854 ZA,beschermd,5.517610842779,53.236433439187
#80ff80,small,,45220,,Archeologie,Franekeradeel,Friesland,Oosterbierum,,,8854 ZA,beschermd,5.512650677373,53.235459312529
#80ff80,small,,45221,,Archeologie,Franekeradeel,Friesland,Oosterbierum,,,8854 ZA,beschermd,5.507584975254,53.234152623358
#80ff80,small,,45222,,Archeologie,Franekeradeel,Friesland,Tzummarum,,,8850 AA,beschermd,5.555993068354,53.239386714727
#80ff80,small,,45223,,Archeologie,Franekeradeel,Friesland,Tzummarum,,,8800 AA,beschermd,5.560675888133,53.241806115627
#80ff80,small,,45224,,Archeologie,Franekeradeel,Friesland,Tzummarum,,,8850 AA,beschermd,5.530992306209,53.234081909844
#80ff80,small,,45225,,Archeologie,Franekeradeel,Friesland,Tzummarum,,,8850 AA,beschermd,5.538122499352,53.234540394373
#80ff80,small,,45226,,Archeologie,Franekeradeel,Friesland,Tzummarum,,,8850 AA,beschermd,5.546479754692,53.242805224114
#80ff80,small,,45227,,Archeologie,Franekeradeel,Friesland,Tzummarum,,,8850 AA,beschermd,5.545493942801,53.243570294817
#80ff80,small,,45228,,Archeologie,Het Bildt,Friesland,Minnertsga,,,9047 ZA,beschermd,5.570214887752,53.251828714472
#80ff80,small,,45229,,Archeologie,Franekeradeel,Friesland,Firdgum,,,8800 AA,beschermd,5.561259953062,53.249209300635
#80ff80,small,,45230,,Archeologie,Franekeradeel,Friesland,Firdgum,,,8800 AA,beschermd,5.555409895748,53.247321712693
#80ff80,small,,45231,,Archeologie,Franekeradeel,Friesland,Firdgum,,,8800 AA,beschermd,5.552066831105,53.246697371027
#80ff80,small,,45232,,Archeologie,Franekeradeel,Friesland,Firdgum,,,8800 AA,beschermd,5.549490957433,53.246898563913
#80ff80,small,,45233,,Archeologie,Het Bildt,Friesland,Minnertsga,,,9047 ZA,beschermd,5.602447878552,53.253087098459
#80ff80,small,,45234,,Archeologie,Het Bildt,Friesland,Minnertsga,,,9047 ZA,beschermd,5.601335427912,53.252334309931
#80ff80,small,,45235,,Archeologie,Het Bildt,Friesland,Minnertsga,,,9047 ZA,beschermd,5.578905449358,53.245282707258
#80ff80,small,,45236,,Archeologie,Het Bildt,Friesland,Minnertsga,,,9047 ZA,beschermd,5.616623989746,53.242287240313
#80ff80,small,,45237,,Archeologie,Het Bildt,Friesland,Minnertsga,,,9047 ZA,beschermd,5.617022724442,53.241217202735
#80ff80,small,,45238,,Archeologie,Franekeradeel,Friesland,Sexbierum,,,8855 ZA,beschermd,5.489845126483,53.230700722109
#80ff80,small,,45239,,Archeologie,Franekeradeel,Friesland,Tzummarum,,,8850 AA,beschermd,5.533129615065,53.250540724873
#80ff80,small,,45240,,Archeologie,Franekeradeel,Friesland,Oosterbierum,,,8854 ZA,beschermd,5.522615105646,53.246617425677
#80ff80,small,,45241,,Archeologie,Het Bildt,Friesland,Minnertsga,,,9047 ZA,beschermd,5.577936641743,53.259948517243
#80ff80,small,,45242,,Archeologie,Franekeradeel,Friesland,Sexbierum,,,8855 ZA,beschermd,5.479967447171,53.226395729264
#80ff80,small,,45243,,Archeologie,Franekeradeel,Friesland,Firdgum,,,8800 AA,beschermd,5.562487024227,53.248866066395
#80ff80,small,,45246,,Archeologie,Franekeradeel,Friesland,Sexbierum,,,8855 ZA,beschermd,5.487458370326,53.208885853953
#80ff80,small,,45247,,Archeologie,Het Bildt,Friesland,Minnertsga,,,9047 ZA,beschermd,5.585940194875,53.260285961167
#80ff80,small,,45248,,Archeologie,Franekeradeel,Friesland,Oosterbierum,,,8855 ZA,beschermd,5.524575126637,53.231744216369
#80ff80,small,,45249,,Archeologie,Franekeradeel,Friesland,Sexbierum,,,8855 ZA,beschermd,5.571015710119,53.232311012314
#80ff80,small,,45253,,Archeologie,Appingedam,Groningen,Marsum,,,9900 AA,beschermd,6.874457102023,53.340125744061
#80ff80,small,,45254,,Archeologie,Appingedam,Groningen,Opwierde,,,9900 AA,beschermd,6.874347644954,53.313472932198
#80ff80,small,,45255,,Archeologie,Appingedam,Groningen,Solwerd,,,9900 AA,beschermd,6.869166495155,53.32382657577
#80ff80,small,,45303,,Archeologie,Delfzijl,Groningen,Uitwierde,,,9905 ZA,beschermd,6.895499557542,53.34158902542
#80ff80,small,,45304,,Archeologie,Tynaarlo,Drenthe,Midlaren,,,9470 AA,beschermd,6.681150917535,53.107390350615
#80ff80,small,,45305,,Archeologie,Delfzijl,Groningen,Biessum,,,9905 ZA,beschermd,6.891969456162,53.333383587515
#80ff80,small,,45306,,Archeologie,Delfzijl,Groningen,Weiwerd,,,9905 ZA,beschermd,6.950573906928,53.311292253053
#80ff80,small,,45307,,Archeologie,Delfzijl,Groningen,Delfzijl,,,9930 AA,beschermd,6.889164541266,53.328718681043
#80ff80,small,,45309,,Archeologie,Delfzijl,Groningen,Amsweer,,,9905 ZA,beschermd,6.903320037025,53.308240136136
#80ff80,small,,45310,,Archeologie,Delfzijl,Groningen,Amsweer,,,9905 ZA,beschermd,6.907343701717,53.306185270228
#80ff80,small,,45311,,Archeologie,Delfzijl,Groningen,Amsweer,,,9905 ZA,beschermd,6.909984591056,53.310016109614
#80ff80,small,,45313,,Archeologie,Delfzijl,Groningen,Farmsum,,,9905 ZA,beschermd,6.972465916951,53.300661621382
#80ff80,small,,45314,,Archeologie,Dongeradeel,Friesland,Foudgum,,,9100 AA,beschermd,5.940831986838,53.345254681184
#80ff80,small,,45315,,Archeologie,Dongeradeel,Friesland,Brantgum,,,9153 ZA,beschermd,5.929320406539,53.351605845898
#80ff80,small,,45316,,Archeologie,Dongeradeel,Friesland,Waaxens,,,9100 AA,beschermd,5.920532236446,53.357413705062
#80ff80,small,,45317,,Archeologie,Dongeradeel,Friesland,Waaxens,,,9100 AA,beschermd,5.917875316005,53.357533282195
#80ff80,small,,45318,,Archeologie,Dongeradeel,Friesland,Waaxens,,,9100 AA,beschermd,5.9151011146,53.36156191075
#80ff80,small,,45319,,Archeologie,Dongeradeel,Friesland,Oostrum,,,9100 AA,beschermd,6.062010801119,53.332316598772
#80ff80,small,,45320,,Archeologie,Dongeradeel,Friesland,Hantum,,,9147 ZA,beschermd,5.962232288089,53.362415051087
#80ff80,small,,45321,,Archeologie,Dongeradeel,Friesland,Bornwird,,,9100 AA,beschermd,5.931411787792,53.334101942288
#80ff80,small,,45322,,Archeologie,Dongeradeel,Friesland,Bornwird,,,9100 AA,beschermd,5.95364751615,53.33443052174
#80ff80,small,,45323,,Archeologie,Dongeradeel,Friesland,Hiaure,,,9100 AA,beschermd,5.972655504619,53.347961280957
#80ff80,small,,45324,,Archeologie,Dongeradeel,Friesland,Bornwird,,,9100 AA,beschermd,5.979236360711,53.336230099808
#80ff80,small,,45325,,Archeologie,Dongeradeel,Friesland,Hantumeruitburen,,,9100 AA,beschermd,5.988490770874,53.355017507841
#80ff80,small,,45326,,Archeologie,Dongeradeel,Friesland,Hantum,,,9147 ZA,beschermd,6.00137853092,53.35936418273
#80ff80,small,,45327,,Archeologie,Dongeradeel,Friesland,Hantumhuizen,,,9100 AA,beschermd,5.996967332874,53.372415334269
#80ff80,small,,45328,,Archeologie,Dongeradeel,Friesland,Nes,,,9100 AA,beschermd,6.030141653065,53.385495915338
#80ff80,small,,45331,,Archeologie,Dongeradeel,Friesland,Holwerd,,,9150 AA,beschermd,5.907018762542,53.347777744867
#80ff80,small,,45369,,Archeologie,Emmen,Drenthe,Westenesch,,,7800 AA,beschermd,6.870302338954,52.795942372543
#80ff80,small,,45370,,Archeologie,Emmen,Drenthe,Westenesch,,,7800 AA,beschermd,6.872218342507,52.787730424023
#80ff80,small,,45371,,Archeologie,Emmen,Drenthe,Emmen,,,7800 AA,beschermd,6.887430089992,52.793382066801
#80ff80,small,,45372,,Archeologie,Emmen,Drenthe,Emmen,,,7800 AA,beschermd,6.885710882973,52.79990204816
#80ff80,small,,45373,,Archeologie,Emmen,Drenthe,Emmen,,,7800 AA,beschermd,6.885086158961,52.799846986859
#80ff80,small,,45374,,Archeologie,Emmen,Drenthe,Emmen,,,7800 AA,beschermd,6.907753178569,52.791524551696
#80ff80,small,,45375,,Archeologie,Emmen,Drenthe,Emmen,,,7800 AA,beschermd,6.93779653197,52.781178455074
#80ff80,small,,45376,,Archeologie,Emmen,Drenthe,Emmen,,,7800 AA,beschermd,6.93584429785,52.78381940507
#80ff80,small,,45377,,Archeologie,Emmen,Drenthe,Emmen,,,7800 AA,beschermd,6.928436395,52.794889980957
#80ff80,small,,45378,,Archeologie,Emmen,Drenthe,Emmen,,,7800 AA,beschermd,6.929927099456,52.797639027204
#80ff80,small,,45379,,Archeologie,Emmen,Drenthe,Emmen,,,7800 AA,beschermd,6.922817412025,52.802099080472
#80ff80,small,,45380,,Archeologie,Emmen,Drenthe,Emmen,,,7800 AA,beschermd,6.911478357783,52.800572886182
#80ff80,small,,45381,,Archeologie,Emmen,Drenthe,Emmen,,,7800 AA,beschermd,6.906566462441,52.80475214722
#80ff80,small,,45382,,Archeologie,Emmen,Drenthe,Emmen,,,7800 AA,beschermd,6.909853158333,52.804584363747
#80ff80,small,,45383,,Archeologie,Emmen,Drenthe,Emmen,,,7800 AA,beschermd,6.887594210482,52.811149316869
